L (um),Porosity,Vol Frac Cond,C-rate (1/h),Vol Frac AM,AM Loading (g),Specific Current (mA/g),Current Density (mA/cm2),AM Areal Loading (mg/cm2),Cond Loading (g),Tortuosity (Bruggeman),Theta_Beta,Capacity (mAh/g),Electrode Areal Energy Density (Wh/cm2),Electrode Volumetric Energy Density (Wh/cm3),Electrode Volumetric Power Density (W/cm3),Utilization,Electrode Areal Power Density (W/cm2)
50.0,0.05,0.1,0.1,0.85,0.016958900000000002,36.2,0.48462700000000003,13.3875,0.00143525,4.4721400000000004,0.968041,259.661,0.00912703,1.8254099999999998,0.254483,0.958132,0.0012724150000000003
50.0,0.05,0.15,0.1,0.8,0.0159613,36.2,0.45611999999999997,12.6,0.00215287,4.4721400000000004,0.968241,259.661,0.0085964,1.71928,0.239688,0.958289,0.00119844
50.0,0.05,0.2,0.1,0.75,0.0149637,36.2,0.427613,11.8125,0.0028705,4.4721400000000004,0.9684219999999999,259.661,0.00806476,1.61295,0.22486399999999998,0.9584299999999999,0.00112432
50.0,0.103125,0.02,0.1,0.876875,0.0174951,36.2,0.49995,13.8108,0.00028705,3.114,0.9669399999999999,259.405,0.00926879,1.8537599999999999,0.258691,0.956134,0.001293455
50.0,0.103125,0.03,0.1,0.866875,0.017295500000000002,36.2,0.494249,13.6533,0.000430575,3.114,0.968449,259.45,0.00923407,1.8468099999999998,0.257677,0.957925,0.001288385
50.0,0.103125,0.04,0.1,0.856875,0.017096,36.2,0.488547,13.4958,0.0005741,3.114,0.9696950000000001,258.284,0.00923692,1.84738,0.25740799999999997,0.959341,0.00128704
50.0,0.103125,0.045,0.1,0.851875,0.0169963,36.2,0.48569700000000005,13.417,0.000645862,3.114,0.9696950000000001,259.8,0.00918302,1.8366,0.25590599999999997,0.959341,0.0012795299999999996
50.0,0.103125,0.051,0.1,0.845875,0.0168766,36.2,0.48227600000000004,13.3225,0.000731977,3.114,0.96973,259.868,0.00914837,1.8296700000000001,0.254875,0.9595600000000001,0.0012743750000000001
50.0,0.103125,0.07,0.1,0.826875,0.0164975,36.2,0.47144300000000006,13.0233,0.00100467,3.114,0.9696739999999999,259.867,0.00894614,1.7892299999999999,0.24924200000000002,0.959592,0.0012462100000000002
50.0,0.103125,0.08,0.1,0.816875,0.016298,36.2,0.46574099999999996,12.8658,0.0011482,3.114,0.969715,259.865,0.00883818,1.76764,0.246236,0.959591,0.00123118
50.0,0.103125,0.09,0.1,0.806875,0.0160985,36.2,0.46003999999999995,12.7083,0.00129172,3.114,0.969716,259.867,0.008730400000000001,1.7460799999999999,0.243231,0.959606,0.001216155
50.0,0.103125,0.1,0.1,0.796875,0.0158989,36.2,0.454338,12.5508,0.00143525,3.114,0.9697209999999999,259.868,0.00862249,1.7245,0.24022399999999997,0.959609,0.00120112
50.0,0.103125,0.15,0.1,0.746875,0.0149014,36.2,0.425831,11.7633,0.00215287,3.114,0.961617,256.443,0.00799689,1.59938,0.22576999999999997,0.9316700000000001,0.0011288499999999998
50.0,0.103125,0.2,0.1,0.696875,0.013903799999999997,36.2,0.397323,10.9758,0.0028705,3.114,0.969979,259.964,0.00754539,1.50908,0.21013800000000002,0.9596709999999999,0.0010506900000000002
50.0,0.15625,0.02,0.1,0.82375,0.0164351,36.2,0.46966099999999994,12.9741,0.00028705,2.52982,0.9669030000000001,259.495,0.00872239,1.74448,0.24335700000000002,0.956261,0.0012167850000000002
50.0,0.15625,0.03,0.1,0.81375,0.0162356,36.2,0.46396000000000004,12.8166,0.000430575,2.52982,0.9683930000000001,259.59,0.00868461,1.73692,0.242213,0.958,0.0012110649999999999
50.0,0.15625,0.04,0.1,0.80375,0.016036099999999998,36.2,0.458258,12.6591,0.0005741,2.52982,0.970117,258.374,0.00868149,1.7363,0.241752,0.959577,0.00120876
50.0,0.15625,0.045,0.1,0.79875,0.0159363,36.2,0.45540699999999995,12.5803,0.000645862,2.52982,0.970117,259.992,0.00862748,1.7255,0.240248,0.959577,0.00120124
50.0,0.15625,0.051,0.1,0.79275,0.0158166,36.2,0.45198599999999994,12.4858,0.000731977,2.52982,0.970385,260.158,0.00859361,1.71872,0.23915300000000003,0.9599040000000001,0.0011957650000000001
50.0,0.15625,0.055,0.1,0.78875,0.0157368,36.2,0.44970600000000005,12.4228,0.000789387,2.52982,0.970356,258.502,0.00855261,1.71052,0.238017,0.9599219999999999,0.001190085
50.0,0.15625,0.06,0.1,0.78375,0.0156371,36.2,0.446855,12.3441,0.000861149,2.52982,0.970356,260.151,0.0084984,1.6996799999999999,0.236508,0.9599219999999999,0.00118254
50.0,0.15625,0.07,0.1,0.77375,0.015437600000000001,36.2,0.441154,12.1866,0.00100467,2.52982,0.970353,260.151,0.00839029,1.6780599999999999,0.2335,0.9599340000000001,0.0011675000000000001
50.0,0.15625,0.08,0.1,0.76375,0.015238,36.2,0.43545200000000006,12.0291,0.0011482,2.52982,0.9703360000000001,260.15,0.00828202,1.6564,0.230488,0.959933,0.00115244
50.0,0.15625,0.09,0.1,0.75375,0.0150385,36.2,0.429751,11.8716,0.00129172,2.52982,0.970354,260.151,0.00817374,1.63475,0.227473,0.95994,0.001137365
50.0,0.15625,0.1,0.1,0.74375,0.014838999999999998,36.2,0.42404899999999995,11.7141,0.00143525,2.52982,0.970355,260.149,0.00806541,1.6130799999999998,0.22446,0.95994,0.0011223
50.0,0.15625,0.15,0.1,0.69375,0.013841399999999998,36.2,0.395542,10.9266,0.00215287,2.52982,0.9703430000000001,260.145,0.00752377,1.50475,0.20939000000000002,0.95996,0.0010469500000000003
50.0,0.15625,0.2,0.1,0.64375,0.012843799999999999,36.2,0.367034,10.1391,0.0028705,2.52982,0.97036,260.15,0.00698218,1.39644,0.194313,0.959965,0.000971565
50.0,0.209375,0.02,0.1,0.770625,0.0153752,36.2,0.43937200000000004,12.1373,0.00028705,2.1854299999999998,0.966852,259.566,0.00816628,1.63326,0.227778,0.9563299999999999,0.00113889
50.0,0.209375,0.03,0.1,0.760625,0.0151757,36.2,0.43367,11.9798,0.000430575,2.1854299999999998,0.968583,259.687,0.00812469,1.62494,0.22651300000000002,0.9581299999999999,0.001132565
50.0,0.209375,0.04,0.1,0.750625,0.0149762,36.2,0.42796899999999993,11.8223,0.0005741,2.1854299999999998,0.9701620000000001,258.318,0.00811372,1.62274,0.22589099999999998,0.9597120000000001,0.001129455
50.0,0.209375,0.045,0.1,0.745625,0.014876400000000001,36.2,0.42511800000000005,11.7436,0.000645862,2.1854299999999998,0.9701620000000001,260.05,0.00805967,1.6119299999999999,0.224386,0.9597120000000001,0.0011219300000000001
50.0,0.209375,0.051,0.1,0.739625,0.014756700000000001,36.2,0.42169700000000004,11.6491,0.000731977,2.1854299999999998,0.9705309999999999,260.257,0.00802466,1.60493,0.22323400000000002,0.960073,0.00111617
50.0,0.209375,0.055,0.1,0.735625,0.014676900000000001,36.2,0.419417,11.5861,0.000789387,2.1854299999999998,0.970469,258.467,0.00798312,1.5966200000000002,0.22209600000000002,0.960098,0.00111048
50.0,0.209375,0.06,0.1,0.730625,0.0145771,36.2,0.416566,11.5073,0.000861149,2.1854299999999998,0.970469,260.236,0.00792886,1.5857700000000001,0.220586,0.960098,0.00110293
50.0,0.209375,0.07,0.1,0.720625,0.0143776,36.2,0.410864,11.3498,0.00100467,2.1854299999999998,0.970462,260.232,0.00782041,1.56408,0.217573,0.960098,0.001087865
50.0,0.209375,0.08,0.1,0.710625,0.0141781,36.2,0.405163,11.1923,0.0011482,2.1854299999999998,0.970457,260.236,0.00771245,1.54249,0.21456599999999998,0.9601069999999999,0.0010728299999999999
50.0,0.209375,0.09,0.1,0.700625,0.0139786,36.2,0.399461,11.0348,0.00129172,2.1854299999999998,0.9706950000000001,260.339,0.00760635,1.5212700000000001,0.21153000000000002,0.9601149999999999,0.00105765
50.0,0.209375,0.1,0.1,0.690625,0.013779099999999999,36.2,0.39376,10.8773,0.00143525,2.1854299999999998,0.970698,260.335,0.00749746,1.49949,0.20850500000000002,0.9601120000000001,0.001042525
50.0,0.209375,0.15,0.1,0.640625,0.0127815,36.2,0.365252,10.0898,0.00215287,2.1854299999999998,0.970464,260.233,0.00695298,1.3906,0.193439,0.9601139999999999,0.0009671950000000001
50.0,0.209375,0.2,0.1,0.590625,0.0117839,36.2,0.33674499999999996,9.30234,0.0028705,2.1854299999999998,0.970686,260.32599999999996,0.00641254,1.28251,0.17834,0.960124,0.0008916999999999999
50.0,0.2625,0.02,0.1,0.7175,0.0143153,36.2,0.409083,11.3006,0.00028705,1.9518,0.96698,259.67900000000003,0.00760876,1.52175,0.212135,0.956418,0.001060675
50.0,0.2625,0.03,0.1,0.7075,0.0141158,36.2,0.403381,11.1431,0.000430575,1.9518,0.9685530000000001,259.73,0.00756088,1.5121799999999999,0.21076,0.958208,0.0010538
50.0,0.2625,0.04,0.1,0.6975,0.0139162,36.2,0.39768000000000003,10.9856,0.0005741,1.9518,0.9703450000000001,258.313,0.00754495,1.50899,0.20995300000000003,0.9598399999999999,0.0010497650000000002
50.0,0.2625,0.045,0.1,0.6925,0.013816499999999999,36.2,0.394829,10.9069,0.000645862,1.9518,0.9703450000000001,260.178,0.00749086,1.49817,0.208447,0.9598399999999999,0.001042235
50.0,0.2625,0.051,0.1,0.6865,0.013696799999999999,36.2,0.391408,10.8124,0.000731977,1.9518,0.970767,260.401,0.0074539,1.49078,0.20724099999999998,0.9601959999999999,0.001036205
50.0,0.2625,0.055,0.1,0.6825,0.013616999999999999,36.2,0.389127,10.7494,0.000789387,1.9518,0.9707129999999999,258.482,0.00741243,1.4824899999999999,0.206098,0.9602360000000001,0.00103049
50.0,0.2625,0.06,0.1,0.6775,0.0135172,36.2,0.386277,10.6706,0.000861149,1.9518,0.9707129999999999,260.389,0.00735813,1.47163,0.20458800000000002,0.9602360000000001,0.0010229400000000002
50.0,0.2625,0.07,0.1,0.6675,0.013317700000000002,36.2,0.380575,10.5131,0.00100467,1.9518,0.97072,260.392,0.00724973,1.44995,0.201572,0.960227,0.00100786
50.0,0.2625,0.08,0.1,0.6575,0.013118200000000002,36.2,0.374874,10.3556,0.0011482,1.9518,0.970716,260.39099999999996,0.00714121,1.42824,0.19855599999999998,0.9602430000000001,0.00099278
50.0,0.2625,0.09,0.1,0.6475,0.012918700000000002,36.2,0.369172,10.1981,0.00129172,1.9518,0.970715,260.388,0.00703259,1.40652,0.19553800000000002,0.960233,0.00097769
50.0,0.2625,0.1,0.1,0.6375,0.0127191,36.2,0.363471,10.0406,0.00143525,1.9518,0.9707110000000001,260.383,0.00692391,1.38478,0.19252,0.9602280000000001,0.0009626
50.0,0.2625,0.15,0.1,0.5875,0.0117216,36.2,0.334963,9.25312,0.00215287,1.9518,0.9707030000000001,260.384,0.00638119,1.27624,0.177429,0.9602379999999999,0.000887145
50.0,0.2625,0.2,0.1,0.5375,0.010724,36.2,0.306456,8.46563,0.0028705,1.9518,0.9707020000000001,260.38,0.00583822,1.16764,0.16233399999999998,0.960248,0.0008116699999999998
50.0,0.315625,0.02,0.1,0.664375,0.0132553,36.2,0.378793,10.4639,0.00028705,1.77998,0.9671059999999999,259.782,0.00704952,1.4099,0.196465,0.956498,0.000982325
50.0,0.315625,0.03,0.1,0.654375,0.0130558,36.2,0.37309200000000003,10.3064,0.000430575,1.77998,0.9687459999999999,259.85900000000004,0.00699747,1.39949,0.194958,0.9582860000000001,0.00097479
50.0,0.315625,0.04,0.1,0.644375,0.0128563,36.2,0.36739,10.1489,0.0005741,1.77998,0.9706879999999999,258.355,0.00697586,1.39517,0.193969,0.959946,0.0009698449999999999
50.0,0.315625,0.045,0.1,0.639375,0.0127566,36.2,0.36454000000000003,10.0702,0.000645862,1.77998,0.9706879999999999,260.376,0.00692173,1.38435,0.192464,0.959946,0.00096232
50.0,0.315625,0.051,0.1,0.633375,0.0126368,36.2,0.361119,9.975660000000001,0.000731977,1.77998,0.970907,260.51,0.00688068,1.37614,0.191224,0.96031,0.00095612
50.0,0.315625,0.055,0.1,0.629375,0.012556999999999999,36.2,0.358838,9.91266,0.000789387,1.77998,0.970873,258.433,0.00683908,1.36782,0.190073,0.960333,0.000950365
50.0,0.315625,0.06,0.1,0.624375,0.0124573,36.2,0.355987,9.833910000000001,0.000861149,1.77998,0.970873,260.503,0.00678475,1.35695,0.188563,0.960333,0.0009428150000000001
50.0,0.315625,0.07,0.1,0.614375,0.0122578,36.2,0.350286,9.67641,0.00100467,1.77998,0.9708709999999999,260.499,0.00667614,1.33523,0.185547,0.9603290000000001,0.0009277350000000001
50.0,0.315625,0.08,0.1,0.604375,0.0120583,36.2,0.344584,9.51891,0.0011482,1.77998,0.971101,260.606,0.00656967,1.3139299999999998,0.182514,0.9603440000000001,0.00091257
50.0,0.315625,0.09,0.1,0.594375,0.0118587,36.2,0.338883,9.361410000000001,0.00129172,1.77998,0.970888,260.508,0.00645909,1.29182,0.179509,0.9603370000000001,0.000897545
50.0,0.315625,0.1,0.1,0.584375,0.011659200000000002,36.2,0.333181,9.20391,0.00143525,1.77998,0.970874,260.505,0.00635039,1.2700799999999999,0.176491,0.960342,0.000882455
50.0,0.315625,0.15,0.1,0.534375,0.0106616,36.2,0.304674,8.41641,0.00215287,1.77998,0.9711059999999999,260.598,0.00580902,1.1618,0.161385,0.9603450000000001,0.000806925
50.0,0.315625,0.2,0.1,0.484375,0.00966406,36.2,0.27616599999999997,7.62891,0.0028705,1.77998,0.970878,260.504,0.00526415,1.05283,0.146302,0.960348,0.0007315099999999999
50.0,0.36875,0.02,0.1,0.61125,0.012195399999999999,36.2,0.348504,9.627189999999999,0.00028705,1.64677,0.9671190000000001,259.83,0.00648785,1.2975700000000001,0.180779,0.956556,0.0009038949999999999
50.0,0.36875,0.03,0.1,0.60125,0.0119959,36.2,0.342803,9.46969,0.000430575,1.64677,0.9688049999999999,259.93,0.00643217,1.28643,0.17915799999999998,0.958364,0.0008957899999999998
50.0,0.36875,0.04,0.1,0.59125,0.0117964,36.2,0.33710100000000004,9.31219,0.0005741,1.64677,0.970714,258.238,0.0064031999999999995,1.28064,0.178002,0.9600620000000001,0.00089001
50.0,0.36875,0.045,0.1,0.58625,0.011696600000000001,36.2,0.33425,9.23344,0.000645862,1.64677,0.970714,260.44,0.00634905,1.26981,0.17649700000000001,0.9600620000000001,0.0008824850000000001
50.0,0.36875,0.051,0.1,0.58025,0.0115769,36.2,0.33083,9.13894,0.000731977,1.64677,0.971086,260.64,0.00630707,1.2614100000000001,0.17519500000000002,0.960418,0.0008759750000000001
50.0,0.36875,0.055,0.1,0.57625,0.0114971,36.2,0.328549,9.07594,0.000789387,1.64677,0.971092,258.381,0.00626537,1.2530700000000001,0.174036,0.960426,0.00087018
50.0,0.36875,0.06,0.1,0.57125,0.011397399999999999,36.2,0.325698,8.99719,0.000861149,1.64677,0.971092,260.642,0.00621101,1.2422,0.172526,0.960426,0.0008626300000000001
50.0,0.36875,0.07,0.1,0.56125,0.011197799999999999,36.2,0.319997,8.83969,0.00100467,1.64677,0.9664459999999999,258.603,0.00606455,1.21291,0.169786,0.959407,0.00084893
50.0,0.36875,0.09,0.1,0.54125,0.0107988,36.2,0.308594,8.52469,0.00129172,1.64677,0.97106,260.638,0.00588505,1.1770100000000001,0.163474,0.9604450000000001,0.00081737
50.0,0.36875,0.1,0.1,0.53125,0.010599299999999999,36.2,0.302892,8.367189999999999,0.00143525,1.64677,0.971074,260.64,0.00577637,1.15527,0.16045399999999999,0.9604469999999999,0.0008022699999999999
50.0,0.36875,0.15,0.1,0.48125,0.00960171,36.2,0.274385,7.579689999999999,0.00215287,1.64677,0.9713040000000001,260.742,0.00523442,1.04688,0.145343,0.960458,0.000726715
50.0,0.36875,0.2,0.1,0.43125,0.00860413,36.2,0.24587699999999998,6.79219,0.0028705,1.64677,0.971318,260.749,0.0046908,0.93816,0.130244,0.960463,0.00065122
50.0,0.421875,0.02,0.1,0.558125,0.0111355,36.2,0.318215,8.79047,0.00028705,1.5396,0.967197,259.904,0.00592654,1.18531,0.16509100000000002,0.9566389999999999,0.000825455
50.0,0.421875,0.03,0.1,0.548125,0.010936,36.2,0.312513,8.63297,0.000430575,1.5396,0.969081,260.087,0.00586773,1.17355,0.163338,0.958435,0.00081669
50.0,0.421875,0.04,0.1,0.538125,0.0107365,36.2,0.306812,8.47547,0.0005741,1.5396,0.9710059999999999,258.20799999999997,0.00583187,1.1663700000000001,0.162001,0.960124,0.0008100049999999999
50.0,0.421875,0.045,0.1,0.533125,0.0106367,36.2,0.30396100000000004,8.39672,0.000645862,1.5396,0.9710059999999999,260.63,0.00577768,1.15554,0.160496,0.960124,0.0008024800000000001
50.0,0.421875,0.051,0.1,0.527125,0.010517,36.2,0.30054000000000003,8.30222,0.000731977,1.5396,0.9712299999999999,260.749,0.00573211,1.14642,0.159158,0.960507,0.00079579
50.0,0.421875,0.055,0.1,0.523125,0.0104372,36.2,0.29825999999999997,8.23922,0.000789387,1.5396,0.971403,258.341,0.0056917,1.13834,0.15798399999999999,0.9605290000000001,0.0007899199999999999
50.0,0.421875,0.06,0.1,0.518125,0.0103374,36.2,0.29540900000000003,8.16047,0.000861149,1.5396,0.971403,260.834,0.00563729,1.1274600000000001,0.156474,0.9605290000000001,0.00078237
50.0,0.421875,0.07,0.1,0.508125,0.010137899999999998,36.2,0.289707,8.00297,0.00100467,1.5396,0.9713729999999999,260.82099999999997,0.00552832,1.10566,0.15345699999999998,0.960541,0.0007672849999999999
50.0,0.421875,0.08,0.1,0.498125,0.00993839,36.2,0.284006,7.84547,0.0011482,1.5396,0.971385,260.827,0.00541987,1.08397,0.150443,0.960548,0.000752215
50.0,0.421875,0.09,0.1,0.488125,0.00973888,36.2,0.278304,7.68797,0.00129172,1.5396,0.9714149999999999,260.83799999999997,0.00531111,1.0622200000000002,0.147418,0.96054,0.00073709
50.0,0.421875,0.1,0.1,0.478125,0.00953936,36.2,0.27260300000000004,7.530469999999999,0.00143525,1.5396,0.971406,260.834,0.00520226,1.04045,0.144399,0.960534,0.000721995
50.0,0.421875,0.15,0.1,0.428125,0.00854178,36.2,0.24409499999999998,6.74297,0.00215287,1.5396,0.971403,260.827,0.0046582,0.9316399999999999,0.129301,0.9605290000000001,0.000646505
50.0,0.421875,0.2,0.1,0.378125,0.007544199999999999,36.2,0.215588,5.95547,0.0028705,1.5396,0.9714,260.827,0.00411426,0.8228530000000001,0.114202,0.9605360000000001,0.0005710099999999999
50.0,0.475,0.02,0.1,0.505,0.0100756,36.2,0.287926,7.95375,0.00028705,1.45095,0.967449,260.04400000000004,0.005365399999999999,1.07308,0.14937999999999999,0.956724,0.0007469
50.0,0.475,0.03,0.1,0.495,0.00987605,36.2,0.282224,7.79625,0.000430575,1.45095,0.969151,260.157,0.00530093,1.06019,0.147521,0.958514,0.0007376050000000001
50.0,0.475,0.04,0.1,0.485,0.00967653,36.2,0.276523,7.63875,0.0005741,1.45095,0.9710629999999999,258.013,0.00525798,1.0516,0.14602,0.960202,0.0007301
50.0,0.475,0.045,0.1,0.48,0.00957677,36.2,0.27367199999999997,7.56,0.000645862,1.45095,0.9710629999999999,260.70099999999996,0.00520378,1.0407600000000001,0.144515,0.960202,0.000722575
50.0,0.475,0.051,0.1,0.474,0.00945706,36.2,0.270251,7.4655,0.000731977,1.45095,0.97149,260.913,0.00515753,1.03151,0.14311400000000002,0.9605950000000001,0.0007155700000000001
50.0,0.475,0.055,0.1,0.47,0.00937726,36.2,0.267971,7.4025,0.000789387,1.45095,0.97144,258.116,0.00511508,1.02302,0.141948,0.9606100000000001,0.0007097399999999999
50.0,0.475,0.06,0.1,0.465,0.009277500000000001,36.2,0.26511999999999997,7.32375,0.000861149,1.45095,0.97144,260.89099999999996,0.00506067,1.01213,0.140438,0.9606100000000001,0.00070219
50.0,0.475,0.07,0.1,0.455,0.00907798,36.2,0.259418,7.16625,0.00100467,1.45095,0.971434,260.897,0.00495204,0.990409,0.13742000000000001,0.96062,0.0006871000000000001
50.0,0.475,0.08,0.1,0.445,0.00887847,36.2,0.253717,7.00875,0.0011482,1.45095,0.9714309999999999,260.894,0.00484321,0.968641,0.134402,0.960633,0.0006720099999999999
50.0,0.475,0.09,0.1,0.435,0.00867895,36.2,0.248015,6.85125,0.00129172,1.45095,0.9714299999999999,260.892,0.00473436,0.9468719999999999,0.131382,0.960627,0.00065691
50.0,0.475,0.1,0.1,0.425,0.00847943,36.2,0.24231399999999997,6.69375,0.00143525,1.45095,0.971419,260.882,0.00462538,0.925076,0.128363,0.9606110000000001,0.0006418150000000001
50.0,0.475,0.15,0.1,0.375,0.00748185,36.2,0.213806,5.90625,0.00215287,1.45095,0.971418,260.885,0.00408134,0.816267,0.11326300000000002,0.960617,0.0005663150000000001
50.0,0.475,0.2,0.1,0.325,0.00648427,36.2,0.185299,5.11875,0.0028705,1.45095,0.971418,260.885,0.00353722,0.707443,0.09816319999999999,0.960624,0.0004908159999999999
50.0,0.528125,0.02,0.1,0.451875,0.00901563,36.2,0.257637,7.117030000000001,0.00028705,1.37604,0.96735,260.03700000000003,0.00480159,0.960318,0.133686,0.9568190000000001,0.00066843
50.0,0.528125,0.03,0.1,0.441875,0.00881612,36.2,0.25193499999999996,6.95953,0.000430575,1.37604,0.969252,260.238,0.00473397,0.946794,0.131701,0.9586030000000001,0.0006585050000000001
50.0,0.528125,0.04,0.1,0.431875,0.0086166,36.2,0.246234,6.80203,0.0005741,1.37604,0.9713309999999999,257.84,0.00468489,0.9369770000000001,0.130025,0.9603309999999999,0.000650125
50.0,0.528125,0.045,0.1,0.426875,0.00851684,36.2,0.243383,6.72328,0.000645862,1.37604,0.9713309999999999,260.86,0.00463065,0.9261299999999999,0.12852,0.9603309999999999,0.0006426
50.0,0.528125,0.051,0.1,0.420875,0.00839713,36.2,0.23996199999999998,6.62878,0.000731977,1.37604,0.9716319999999999,261.027,0.00458143,0.916286,0.127072,0.9606899999999999,0.00063536
50.0,0.528125,0.055,0.1,0.416875,0.00831733,36.2,0.237681,6.56578,0.000789387,1.37604,0.9715870000000001,257.873,0.00453879,0.907759,0.125901,0.960692,0.000629505
50.0,0.528125,0.06,0.1,0.411875,0.00821757,36.2,0.23483099999999998,6.48703,0.000861149,1.37604,0.9715870000000001,261.003,0.00448436,0.8968709999999999,0.124391,0.960692,0.000621955
50.0,0.528125,0.07,0.1,0.401875,0.00801805,36.2,0.229129,6.32953,0.00100467,1.37604,0.971772,261.08799999999997,0.00437664,0.8753280000000001,0.12136400000000001,0.9607049999999999,0.0006068200000000001
50.0,0.528125,0.08,0.1,0.391875,0.00781854,36.2,0.22342800000000002,6.17203,0.0011482,1.37604,0.971555,260.993,0.004266600000000001,0.8533200000000001,0.11835599999999999,0.9606899999999999,0.00059178
50.0,0.528125,0.09,0.1,0.381875,0.00761902,36.2,0.21772600000000003,6.014530000000001,0.00129172,1.37604,0.971791,261.10400000000004,0.00415914,0.831828,0.115325,0.960728,0.000576625
50.0,0.528125,0.1,0.1,0.371875,0.007419499999999999,36.2,0.212025,5.85703,0.00143525,1.37604,0.971776,261.093,0.00405021,0.810041,0.11231,0.960707,0.00056155
50.0,0.528125,0.15,0.1,0.321875,0.00642192,36.2,0.183517,5.06953,0.00215287,1.37604,0.971568,261.001,0.00350465,0.70093,0.09721619999999999,0.9607040000000001,0.00048608099999999997
50.0,0.528125,0.2,0.1,0.271875,0.00542434,36.2,0.15500999999999998,4.282030000000001,0.0028705,1.37604,0.9717610000000001,261.082,0.00296097,0.592194,0.0821092,0.960708,0.00041054599999999997
50.0,0.58125,0.02,0.1,0.39875,0.0079557,36.2,0.227347,6.28031,0.00028705,1.31165,0.967424,260.124,0.00423918,0.8478370000000001,0.11798800000000001,0.9568959999999999,0.0005899400000000001
50.0,0.58125,0.03,0.1,0.38875,0.00775619,36.2,0.221646,6.122809999999999,0.000430575,1.31165,0.9693780000000001,260.329,0.00416681,0.833361,0.11588299999999999,0.9587,0.0005794149999999999
50.0,0.58125,0.04,0.1,0.37875,0.00755667,36.2,0.215944,5.96531,0.0005741,1.31165,0.971416,257.492,0.00411001,0.822001,0.11403599999999998,0.9604,0.00057018
50.0,0.58125,0.045,0.1,0.37375,0.00745691,36.2,0.213094,5.88656,0.000645862,1.31165,0.971416,260.936,0.00405575,0.81115,0.11253099999999999,0.9604,0.000562655
50.0,0.58125,0.051,0.1,0.36775,0.0073372,36.2,0.209673,5.79206,0.000731977,1.31165,0.9717969999999999,261.147,0.00400493,0.800986,0.11103099999999999,0.960758,0.000555155
50.0,0.58125,0.055,0.1,0.36375,0.0072574,36.2,0.20739200000000002,5.72906,0.000789387,1.31165,0.971773,257.55400000000003,0.00396243,0.7924859999999999,0.109854,0.960794,0.0005492699999999999
50.0,0.58125,0.06,0.1,0.35875,0.00715764,36.2,0.204541,5.65031,0.000861149,1.31165,0.971773,261.143,0.00390796,0.781592,0.10834400000000001,0.960794,0.00054172
50.0,0.58125,0.07,0.1,0.34875,0.00695812,36.2,0.19884000000000002,5.4928099999999995,0.00100467,1.31165,0.9718049999999999,261.149,0.00379912,0.7598239999999999,0.105324,0.960774,0.00052662
50.0,0.58125,0.08,0.1,0.33875,0.00675861,36.2,0.193138,5.33531,0.0011482,1.31165,0.9717899999999999,261.144,0.00369015,0.738029,0.102306,0.960765,0.00051153
